Label,ViT ID,ViT OOD,ResNet ID,ResNet OOD,ViT Drop,ResNet Drop
Atelectasis,0.7764229126355372,0.7667191601049869,0.7529554855136249,0.7419422572178478,0.009703752530550336,0.011013228295777111
Cardiomegaly,0.8692438795176884,0.7904411764705883,0.7275303568489405,0.6369206773618539,0.07880270304710013,0.09060967948708665
Effusion,0.8545930448031626,0.8855298913043479,0.8342259821281504,0.8360507246376812,-0.030936846501185333,-0.0018247425095307968
Infiltration,0.7116182712324867,,0.6989361149484556,,,
Mass,0.7871195012316993,,0.7214899677863275,,,
Nodule,0.7123649704463618,,0.6769304979957877,,,
Pneumonia,0.744680039661353,0.6978092783505154,0.687912004096887,0.6217783505154639,0.04687076131083756,0.06613365358142309
Pneumothorax,0.8465536719537322,0.6197802197802197,0.7725914538253662,0.6652014652014652,0.22677345217351252,0.10738998862390103
Consolidation,0.8032006549194884,0.8204044117647058,0.8074242914391726,0.7784926470588236,-0.017203756845217355,0.02893164438034901
Edema,0.8854035465108051,0.8361607142857143,0.8690543581324917,0.8232886904761905,0.04924283222509085,0.04576566765630119
Emphysema,0.9099998029336609,,0.8339666826509364,,,
Fibrosis,0.7987012987012986,,0.719598583234947,,,
Pleural_Thickening,0.7334225322948026,,0.6880505248403179,,,
Hernia,0.7748746371074162,,0.6458168382158881,,,
Mean,0.8005856259963923,0.7738349788658684,0.7454630815469495,0.7290964017813323,0.026750647130523886,0.01636667976561723
